"Year","Month","mean_temperature","mean_precipitation_sum","mean_precipitation_hours","mean_windspeed_10m_max","mean_radiation_sum","count_highwind","max_consecutive_highwind_days","Station","Densità","Quota","Type","Count_120","Count_180"
2015,7,1.42396678699398,-0.218680510198395,0.0376536287676638,-0.266528390429745,0.759282544787518,-0.287317315924279,-0.202903900161151,6665,1707.48387096774,"369","urban",30,22
2015,8,0.826240985083061,0.596581276267588,0.234036932513757,-0.811599476570171,0.106164670584983,-0.852709224989365,-1.00881221360433,6665,1707.48387096774,"369","urban",20,12
2015,9,-0.419893359545972,1.59569694803295,1.40226581633669,-0.243836423935811,-1.33097544669842,-0.176931276535371,-0.202903900161151,6665,1707.48387096774,"369","urban",1,0
2015,10,-1.30711677335016,1.19394582162357,0.732548395869233,-1.09689200250749,-1.93790270167211,-1.17579031588372,-1.00881221360433,6665,1707.48387096774,"369","urban",0,0
2016,4,-1.36202307589127,-0.170357720673321,0.62176807067913,-0.0556902554077799,-0.354794974059677,-0.0100060462399777,-0.202903900161151,6665,1704.51612903226,"369","urban",1,0
2016,5,-0.876038026810715,1.30363558925717,1.00446373951768,-0.180708687505529,0.244682181038385,-0.206547043200692,-0.202903900161151,6665,1704.51612903226,"369","urban",10,1
2016,6,0.0597104386539879,1.23727822081936,1.57397532038136,-0.71599942011448,0.872976956506394,-0.844632197717014,-1.00881221360433,6665,1704.51612903226,"369","urban",14,5
2016,7,0.811779876972307,-0.0689688003200979,-0.0831976350760864,-0.503112436329,0.8359800775496,-0.448857861371454,0.603004413282024,6665,1704.51612903226,"369","urban",24,10
2016,8,0.616210605379347,0.569899981437788,-0.415538610646404,-0.408014927683224,0.462682519952046,-0.448857861371454,0.603004413282024,6665,1704.51612903226,"369","urban",21,7
2016,9,0.189929274070296,-0.908639030574818,-0.767517916591332,-0.611740078318686,-0.58188715218324,-0.5942443522739,-0.202903900161151,6665,1704.51612903226,"369","urban",11,6
2016,10,-1.41454214788715,0.326803739655208,0.883612475673923,-0.868426036614596,-2.12825388572822,-0.852709224989365,-1.00881221360433,6665,1704.51612903226,"369","urban",0,0
2017,4,-1.34281046082985,-0.240816102946076,-0.408488953588852,1.57411094967589,0.0235749919638363,1.4923210264187,1.4089127267252,6665,1702.1935483871,"369","urban",5,0
2017,5,-0.478701865863006,0.475033155376295,0.475739460201263,0.678648067452036,0.513157512726374,1.00500704765307,0.603004413282024,6665,1702.1935483871,"369","urban",13,3
2017,6,0.623992058791315,2.60662156325077,0.231519197850346,0.81433597612954,0.997860104846991,0.574232259793971,0.603004413282024,6665,1702.1935483871,"369","urban",21,10
2017,7,0.751869571942069,-0.174211685482067,-0.762985994197191,0.300577484299323,1.02069273616792,0.116534047693658,-1.00881221360433,6665,1702.1935483871,"369","urban",22,10
