"Count_180","idSensore","Year","Month"
0,5732,2015,9
0,5732,2015,10
0,5732,2016,4
0,5732,2016,5
2,5732,2016,6
3,5732,2016,7
0,5732,2016,8
0,5732,2016,9
NA,5732,2016,10
0,5732,2017,4
1,5732,2017,5
4,5732,2017,6
3,5732,2017,7
0,5732,2017,8
0,5732,2017,9
0,5732,2017,10
0,5732,2018,4
0,5732,2018,5
1,5732,2018,6
9,5732,2018,7
1,5732,2018,8
0,5732,2018,9
0,5732,2018,10
0,5732,2019,4
0,5732,2019,5
1,5732,2019,6
6,5732,2019,7
0,5732,2019,8
0,5732,2019,9
0,5732,2019,10
0,5732,2020,4
NA,5732,2020,5
0,5732,2020,6
1,5732,2020,7
0,5732,2020,8
0,5732,2020,9
NA,5732,2020,10
0,5732,2021,4
0,5732,2021,5
0,5732,2021,6
1,5732,2021,7
0,5732,2021,8
0,5732,2021,9
0,5732,2021,10
NA,5732,2022,4
0,5732,2022,5
0,5732,2022,6
6,5732,2022,7
1,5732,2022,8
0,5732,2022,9
0,5732,2022,10
0,5735,2010,4
NA,5735,2010,5
NA,5735,2010,6
8,5735,2010,7
1,5735,2010,8
0,5735,2010,9
NA,5735,2010,10
0,5735,2011,4
0,5735,2011,5
1,5735,2011,6
0,5735,2011,7
0,5735,2011,8
0,5735,2011,9
0,5735,2011,10
0,5735,2012,4
0,5735,2012,5
0,5735,2012,6
4,5735,2012,7
3,5735,2012,8
0,5735,2012,9
0,5735,2012,10
0,5735,2013,4
NA,5735,2013,5
0,5735,2013,6
0,5735,2013,7
0,5735,2013,8
0,5735,2013,9
0,5735,2013,10
0,5735,2014,4
0,5735,2014,5
NA,5735,2014,6
0,5735,2014,7
0,5735,2014,8
0,5735,2014,9
0,5735,2014,10
0,5735,2015,4
0,5735,2015,5
5,5735,2015,6
14,5735,2015,7
5,5735,2015,8
0,5735,2015,9
0,5735,2015,10
NA,5735,2016,4
0,5735,2016,5
3,5735,2016,6
5,5735,2016,7
NA,5735,2016,8
5,5735,2016,9
NA,5735,2016,10
0,5735,2017,4
2,5735,2017,5
7,5735,2017,6
4,5735,2017,7
3,5735,2017,8
0,5735,2017,9
0,5735,2017,10
0,5735,2018,4
0,5735,2018,5
0,5735,2018,6
1,5735,2018,7
1,5735,2018,8
0,5735,2018,9
0,5735,2018,10
0,5735,2019,4
NA,5735,2019,5
5,5735,2019,6
6,5735,2019,7
1,5735,2019,8
0,5735,2019,9
0,5735,2019,10
0,5735,2020,4
0,5735,2020,5
0,5735,2020,6
2,5735,2020,7
0,5735,2020,8
0,5735,2020,9
0,5735,2020,10
0,5735,2021,4
0,5735,2021,5
2,5735,2021,6
0,5735,2021,7
0,5735,2021,8
0,5735,2021,9
0,5735,2021,10
NA,5735,2022,4
NA,5735,2022,5
NA,5735,2022,6
NA,5735,2022,7
NA,5735,2022,8
NA,5735,2022,9
NA,5735,2022,10
0,5738,2010,4
0,5738,2010,5
4,5738,2010,6
NA,5738,2010,7
NA,5738,2010,8
0,5738,2010,9
0,5738,2010,10
NA,5738,2011,4
NA,5738,2011,5
0,5738,2011,6
0,5738,2011,7
4,5738,2011,8
0,5738,2011,9
0,5738,2011,10
0,5738,2012,4
NA,5738,2012,5
0,5738,2012,6
3,5738,2012,7
3,5738,2012,8
0,5738,2012,9
0,5738,2012,10
NA,5738,2013,4
0,5738,2013,5
4,5738,2013,6
14,5738,2013,7
4,5738,2013,8
0,5738,2013,9
0,5738,2013,10
0,5738,2014,4
0,5738,2014,5
4,5738,2014,6
NA,5738,2014,7
0,5738,2014,8
1,5738,2014,9
0,5738,2014,10
NA,5738,2015,4
0,5738,2015,5
NA,5738,2015,6
8,5738,2015,7
3,5738,2015,8
0,5738,2015,9
0,5738,2015,10
0,5738,2016,4
NA,5738,2016,5
NA,5738,2016,6
9,5738,2016,7
0,5738,2016,8
2,5738,2016,9
0,5738,2016,10
0,5738,2017,4
6,5738,2017,5
10,5738,2017,6
6,5738,2017,7
2,5738,2017,8
0,5738,2017,9
0,5738,2017,10
NA,5738,2018,4
0,5738,2018,5
0,5738,2018,6
1,5738,2018,7
1,5738,2018,8
0,5738,2018,9
