"Year","Month","mean_temperature","mean_precipitation_sum","mean_precipitation_hours","mean_windspeed_10m_max","Station"
2022,5,19.3354838709677,2.65806451612903,4.16129032258065,14.9741935483871,5749
2022,6,23.7,3.67666666666667,3,13.8866666666667,5749
2022,7,26.7838709677419,1.33870967741935,2.2258064516129,13.4838709677419,5749
2022,8,24.3290322580645,3.2258064516129,3.16129032258065,12.6838709677419,5749
2022,9,18.2133333333333,3.68,4.9,11.5833333333333,5749
2022,10,16.1354838709677,5.62258064516129,4.19354838709677,9.65806451612903,5749
2010,5,14.9322580645161,5.65806451612903,6.7741935483871,10.7612903225806,5735
2010,6,19.79,3.86333333333333,4.36666666666667,10.3866666666667,5735
2010,7,24.0161290322581,1.93870967741935,2.87096774193548,9.98387096774194,5735
2010,8,20.3451612903226,6.77096774193548,4.64516129032258,9.61935483870968,5735
2010,9,16.4433333333333,6.89666666666667,5.43333333333333,8.23,5735
