"Year","Month","mean_temperature","mean_precipitation_sum","mean_precipitation_hours","mean_windspeed_10m_max","mean_radiation_sum","count_highwind","Station"
2020,6,19.8966666666667,8.94666666666667,7.86666666666667,7.70666666666667,20.4743333333333,1.93333333333333,10584
2020,7,23.5,3.91290322580645,5.25806451612903,7.30645161290323,21.7616129032258,2,10584
2020,8,23.6677419354839,9.85483870967742,6.74193548387097,7.44516129032258,18.0470967741935,1.93548387096774,10584
2020,9,19.9933333333333,5.10666666666667,7.53333333333333,6.85666666666667,13.8,1.86666666666667,10584
2020,10,13.7838709677419,9.75806451612903,8.06451612903226,7.11290322580645,8.40129032258064,1.83870967741935,10584
2021,5,14.7516129032258,5.73870967741936,7.25806451612903,8.53225806451613,19.3696774193548,2.06451612903226,10584
2021,6,21.8766666666667,3.46,5.53333333333333,7.63666666666667,22.219,1.96666666666667,10584
2021,7,22.5,13.9032258064516,8.29032258064516,8.10645161290322,19.7138709677419,2,10584
2021,8,22.4451612903226,11.2032258064516,6.7741935483871,7.76774193548387,18.9535483870968,2.03225806451613,10584
2021,9,20.3466666666667,5.86666666666667,6.9,6.79333333333333,12.8493333333333,1.86666666666667,10584
2021,10,13.9225806451613,3.9,4.58064516129032,6.66774193548387,9.56,1.80645161290323,10584
2022,5,18.6677419354839,5.08387096774194,6.7741935483871,7.93548387096774,20.6635483870968,2,10584
2022,6,22.58,9.60666666666667,5.03333333333333,8.74666666666667,23.385,2.13333333333333,10584
2022,7,25.7870967741936,3.06451612903226,2.19354838709677,8.48064516129032,24.0196774193548,2.03225806451613,10584
2022,8,24.8677419354839,3.13225806451613,3.16129032258065,8.24838709677419,20.4096774193548,2,10584
2022,9,18.8833333333333,4.76,5.33333333333333,7.69333333333333,14.616,1.96666666666667,10584
2022,10,18.0064516129032,5.83548387096774,4.64516129032258,6.21935483870968,9.76161290322581,1.7741935483871,10584
2010,5,14.4967741935484,9.60645161290322,8.90322580645161,10.9064516129032,18.5522580645161,2.35483870967742,6665
2010,6,19.3933333333333,4.51333333333333,5.86666666666667,10.1033333333333,21.257,2.26666666666667,6665
2010,7,23.9258064516129,1.85806451612903,2.12903225806452,11.1064516129032,23.6912903225806,2.32258064516129,6665
2010,8,20.1774193548387,7.82903225806452,5.70967741935484,10.1451612903226,17.4116129032258,2.25806451612903,6665
2010,9,16.44,6.82,5.13333333333333,9.29333333333333,13.726,2.16666666666667,6665
2010,10,11.1838709677419,5.1258064516129,5.03225806451613,8.94838709677419,7.84258064516129,2.16129032258065,6665
2011,5,17.6645161290323,2.21935483870968,2.58064516129032,11.0451612903226,22.6661290322581,2.38709677419355,6665
